Service_ID,Customer_ID,Vehicle_ID,Service_Date,Service_Type,Service_Cost,Service_Center
7b668a94-6b41-4f96-be0f-9e15954b6a75,4187,6942,2023-07-02,Engine Diagnostics,288.17,Auger Payet S.A.R.L.
70a95399-4359-4a0e-9622-60d25ecef82f,10278,4072,2022-07-15,Tire Replacement,1585.4,Guillot
2d0f94fe-9321-4caf-84e0-ff35b5bef287,1930,2820,2022-09-04,Battery Check,65.46,Perret
daee69dd-c746-412e-b7cb-5fc5b874697a,5820,3805,2021-08-09,Brake Repair,272.92,Rousset Perret SARL
68b520b2-b7e9-4e7d-baf3-784ee683780a,5401,2021,2020-02-11,Battery Check,610.9,Pages
dc02f2f0-797b-4d7b-82ea-9ad4ab6dcb34,3726,5921,2022-10-17,Battery Check,774.93,Sanchez S.A.S.
9b4709a2-3a61-40c6-8d41-8452c3a04cbf,9846,3447,2022-01-27,Tire Replacement,1023.58,Blondel S.A.
86f6a704-76c1-49e3-968e-b3d1760be248,5826,4411,2024-06-04,Brake Repair,726.18,Lemoine
ebd7ca75-516a-4fa8-a160-6bb609fa4b25,1788,4571,2022-05-30,Tire Replacement,298.47,Jacquet SARL
6749bd12-3a9b-41a3-9bdb-a6698ca445e4,10973,3598,2020-08-06,Battery Check,584.61,Michaud
84d39efb-8253-4312-a1eb-c0ea244527ef,9486,4533,2021-05-07,Engine Diagnostics,579.69,Joly S.A.S.
12c050a6-73bb-499e-9433-69b4c6f3966a,4655,5544,2022-06-30,Battery Check,1270.1,Tanguy
d2631d62-f24c-4c8e-8249-f075b55a5fc5,7287,3000,2021-11-20,Brake Repair,1382.08,Renault
cd262b2d-cd1f-4c9b-a938-bdc30bff8ccf,2065,6756,2021-05-11,Oil Change,1389.91,Neveu Jacob et Fils
7bc0a330-2175-4d87-84dc-57d013009e00,8719,6293,2022-02-17,Brake Repair,1997.66,Ferreira S.A.
d5e0d6ce-ec98-4478-b6b9-e80facd1a6ee,9004,6083,2022-07-25,Engine Diagnostics,1745.93,Besnard S.A.S.
b4d1b515-38e3-4149-b35a-7bc5b6b36a9b,10186,6634,2024-01-29,Brake Repair,189.82,Besnard
3e4b14d4-2e24-425e-a591-3e484fb02967,2468,6723,2020-03-16,Engine Diagnostics,295.92,Marie
3805e5e7-d1e2-42b0-86b2-26362cdf214c,6096,4851,2024-08-05,Oil Change,1396.83,Pages
28218e57-2348-43f4-9e4d-64d159294491,9928,3742,2024-11-28,Brake Repair,100.1,Barthelemy
460b4442-00d6-412a-9712-6dedd01f175d,3223,6377,2023-02-07,Battery Check,572.51,Delattre Baron S.A.S.
2e8d6c65-708e-4c47-aa1e-44dc5d6596e5,6922,3769,2022-04-07,Battery Check,896.35,Letellier
cb091b04-cbd8-417e-bcf1-af6a8397e399,2236,4630,2023-07-28,Oil Change,798.28,Perez
d7f1fb4b-efed-4d39-a1b0-66d9ddfac4d5,4109,4991,2022-11-05,Brake Repair,1539.4,Delahaye
5ed16026-cc6c-4d6b-a54c-7e5b821c7b91,9298,3628,2022-12-23,Tire Replacement,1516.88,Bernier Lucas S.A.S.
b7be8e3f-186e-4965-878f-b7a295e451db,10299,3496,2022-12-05,Brake Repair,1728.37,Leroux
ac0b9f80-e62a-4241-8a58-418c5bad3ef6,5225,6635,2024-05-11,Tire Replacement,1341.1,Chauveau
688ff866-1537-49ef-b70d-1195b06771be,9293,6470,2023-09-17,Battery Check,1778.83,Germain SA
6a20afa0-6d1d-482a-ac4a-162accc82c74,6782,4310,2021-12-26,Oil Change,344.4,Hubert
76d1b5d4-77b5-4c7a-ad6c-a4b17126db37,8135,4171,2020-08-05,Engine Diagnostics,1047.6,Germain
182ec6fb-5a56-4a80-9204-137843352f6b,6194,3334,2023-08-22,Tire Replacement,1498.07,Simon
27058fec-4764-487e-bd94-345338104ea0,2409,5015,2022-06-24,Battery Check,1581.87,Ferrand Fouquet SA
298632a3-8ee0-4b67-8194-76f5e7eb2363,10608,2681,2022-02-08,Brake Repair,656.51,Deschamps Perret S.A.
7499e480-960a-4fb3-a23d-6eddd450e386,9921,4215,2021-07-01,Oil Change,350.29,Joubert Maury SA
13788dcc-a2ad-43df-a709-644a95f84c21,6329,2067,2023-03-23,Oil Change,1700.19,Hebert S.A.S.
2da862d6-494c-4f93-8674-cc66ff379f54,10734,6087,2022-02-17,Brake Repair,1559.4,Bègue
413d4e33-68f3-4819-92ed-ebe96f7bcc2b,4838,6403,2021-08-06,Battery Check,1228.94,Bonnin Berger et Fils
d2b06d3c-664a-47c4-b3e4-ef80dedc7a34,3521,6716,2022-09-11,Tire Replacement,1248.95,Fouquet S.A.S.
1444d83d-8d5c-4dc0-8303-ade9eab559f0,3587,2199,2022-12-19,Tire Replacement,493.71,Brunel Devaux S.A.
38abc2e5-2c8c-45c8-b414-2c62b43315b3,8106,3098,2020-02-29,Tire Replacement,188.18,Torres
89aa5346-4ece-4858-84c6-5a40542f0584,9673,3975,2022-10-29,Battery Check,438.1,Leleu
5c0f7513-4c01-4007-8567-9a42c751ae7a,2639,5509,2023-10-07,Battery Check,1846.18,Martel SARL
918ae277-599e-46d5-9b3d-097eb66388ce,5393,6801,2024-06-02,Battery Check,1124.23,Lejeune Pineau S.A.
dc20b101-ed28-41fe-81be-a6a53bb2afe3,10051,6646,2021-06-20,Oil Change,676.5,Pasquier
0c81e864-587f-4ef4-8a45-6c4381b3db75,6074,2607,2020-11-06,Tire Replacement,561.98,Lévy Klein S.A.
4f12098c-b8ab-4af0-8759-d5b27f6b7e90,4058,4067,2023-01-08,Tire Replacement,352.87,Klein S.A.R.L.
e81f1060-25eb-4241-8ff1-a347395d059c,9403,2550,2022-07-21,Tire Replacement,1222.88,Weiss
4bd5a05d-f5ce-48bb-bbe3-b17f317ffecf,5095,4858,2024-08-24,Brake Repair,371.49,Jean Masson SARL
16ec70e7-145a-458f-ae37-7463e761579e,2794,2664,2021-10-16,Battery Check,1337.24,Carpentier SARL
97f900d2-a1ae-47d0-adcb-48ee6b765147,6974,4000,2024-11-25,Engine Diagnostics,802.99,Delmas S.A.R.L.
4e67e8c8-98c1-4388-bfc9-cc34bd805b2d,8103,4141,2024-07-27,Battery Check,72.46,Lévy
d954e827-b923-4908-b110-ead74d9601af,8920,6634,2024-01-15,Engine Diagnostics,508.39,Besson
4387d460-53b7-4447-bca4-7a067a376d25,3893,3540,2024-08-01,Engine Diagnostics,163.69,Valette S.A.
dce06646-63c0-4588-928d-a89879389601,4913,5837,2023-11-22,Oil Change,311.77,Toussaint
256c3abe-159b-4706-a995-5f472b1fe4ce,5452,4919,2020-02-18,Engine Diagnostics,1321.22,Marty
cc4db09e-28d8-4b6f-9e22-16ef543916c7,10701,5299,2022-07-15,Engine Diagnostics,1353.96,Thibault
18b36963-cf90-4b75-8654-b09c4b5e4306,7001,3418,2020-05-03,Tire Replacement,1130.78,Lemonnier S.A.R.L.
28dd670c-e9e2-4929-bd52-d1232305926b,7050,5131,2024-07-12,Brake Repair,1460.66,Dumas S.A.R.L.
cadd629c-b359-4054-a549-612ef67e132c,4239,3976,2024-03-04,Battery Check,1401.69,Lambert et Fils
3b852cad-222e-4855-a17d-b4cb6ecb7029,3608,6423,2024-04-11,Tire Replacement,1811.36,Paul
f411c1f5-331d-4dc0-9eb7-8da1548a6aa8,2246,3248,2023-03-02,Brake Repair,1426.98,Marty et Fils
595f843b-6fa7-4008-ab09-0b03cd3ae0f5,7290,2292,2024-03-27,Engine Diagnostics,966.34,Dos Santos
ec5b9674-eace-4036-9b29-53dcf255638e,7787,5044,2021-05-12,Engine Diagnostics,1799.85,Weber
c99aba4e-7aa1-4e80-bd17-4144928d2668,1523,2249,2021-03-01,Brake Repair,410.59,Jacques
71d5e618-2f2c-4868-9342-0d857a0ace31,2045,4076,2021-12-17,Oil Change,118.25,Petit Da Costa S.A.
14c5a21b-368d-4d28-8ebb-63755630694b,4079,2059,2021-03-03,Oil Change,1690.56,Leduc Ramos S.A.
d916b078-5ba4-4b7e-a13f-6d68fec027ba,7518,5558,2020-04-22,Oil Change,1973.64,Clément
4cfc73ef-e13f-450c-9445-3ba12a43c32e,9010,4031,2021-12-11,Oil Change,1414.05,Lemaître Lejeune SA
d98990aa-ca54-4005-9dec-75cc41ea0f0c,8934,2662,2024-08-18,Tire Replacement,676.94,Techer
26c6f61a-b3b3-491a-82c3-78e63929cfee,6159,5810,2025-01-26,Oil Change,710.2,Merle
e8c5a185-2ca0-4895-b609-a44e3e4424db,8468,5035,2023-04-17,Oil Change,461.41,Michel SARL
7e5c96b6-2354-475e-a1ec-b9b7f1f93714,5338,4931,2020-05-12,Tire Replacement,838.02,Lemoine
1d2443e9-bd03-4895-bd04-3bd1ba20a857,7817,3533,2022-10-18,Battery Check,266.23,Roger
65a4a1ac-fcfd-4e3b-85b5-92631471bd28,2107,3543,2023-02-07,Battery Check,371.92,Marin Rocher SA
977075bc-4bb9-4cb1-95a8-173cccea72aa,10779,2766,2023-09-21,Tire Replacement,1876.13,Dumont
10f849f8-7b07-4368-868c-5f812588a21b,7003,5007,2024-05-31,Battery Check,1146.83,Lesage
b4db596c-6b85-4eca-ba09-8bcc14d36392,1867,4171,2025-01-12,Battery Check,1244.05,Joseph
86e32cbd-37ab-484e-a5fe-2de498a30333,6769,3014,2022-07-24,Battery Check,1877.34,De Oliveira
df0e63f8-aae3-4294-abba-164f87ddf4ac,7248,6900,2022-10-15,Oil Change,1621.96,Hoarau S.A.R.L.
9f950bad-d64b-46ae-ab14-516997c20201,9803,6859,2023-02-09,Engine Diagnostics,1937.39,Hernandez
b21cab8c-fd91-47f2-9482-05c0ed3c3334,7024,3591,2024-05-06,Oil Change,1220.03,Mendès SA
2aa59235-db6b-4752-87e4-35608a13ae3e,5728,2629,2023-11-18,Oil Change,669.62,Barbe
59194672-aa21-4f2d-827d-004b850b1c81,1727,4305,2025-01-04,Tire Replacement,1902.27,Jacquet
699bf885-98dc-4af9-92ec-b01b5aca5fb9,10136,6524,2021-11-07,Brake Repair,1401.57,Bodin et Fils
a81ffcc6-27db-467c-b64a-daa683cf80fd,10113,5623,2024-01-20,Oil Change,1924.07,Hervé Moreau SA
10a78cb3-0087-4daa-ac2e-8ba89110a8eb,8229,2454,2023-11-16,Battery Check,1888.27,Roux et Fils
e67cb5ce-5d45-4ec0-b680-48519c78e30b,5636,6883,2023-06-12,Tire Replacement,1549.23,Jacquot
0c864416-ce40-4eab-8712-6a7345dbc5b8,6060,3736,2022-04-02,Battery Check,1880.03,Lefort Gonzalez S.A.R.L.
f54d2ebe-0f4c-4254-a660-7bfd67662db6,2270,5423,2023-04-05,Brake Repair,1279.02,Arnaud Pruvost SA
c786fffe-2847-42b4-8b26-72a9c831e44b,2815,3291,2022-01-31,Battery Check,1947.98,Lemoine S.A.S.
e104ebba-5bc2-4db8-b600-df46ac81374e,7985,2554,2022-06-08,Battery Check,187.99,Moulin
275cacd2-cade-4f88-ab4e-22f7ad13f9ce,1201,5674,2020-10-07,Oil Change,1981.49,Michaud SARL
c7f6422e-18df-42e6-bb13-2fa92a10aa79,2117,4285,2023-02-15,Engine Diagnostics,56.92,Hubert
7109aa13-965d-45a3-a6c4-507fc95ab329,2602,4853,2024-03-20,Tire Replacement,1866.6,Roy
c4f738b9-847d-4d5f-9ed7-980830ddad03,6989,2773,2020-02-25,Battery Check,266.43,Bodin SA
096d7b8f-11c2-4b54-83df-cfa6416c3630,6737,2736,2020-05-30,Brake Repair,75.73,Besson
091c13d9-da0a-47fb-9906-f7f43c357d6d,4455,6018,2023-06-19,Brake Repair,345.74,Bonnin Texier et Fils
0968caf9-b4c7-48ae-975b-544ef5df112c,9189,3660,2024-02-21,Engine Diagnostics,801.67,Allain Hervé S.A.
624e8c71-4bdf-4777-906c-690e820c2f0c,2403,6941,2021-04-23,Tire Replacement,811.87,Payet S.A.
80354b88-b24e-4b6b-81b1-21115f137fe6,10775,4256,2020-09-12,Oil Change,1689.69,Le Roux SA
2b1dccc8-d101-49c4-9dce-fc5eb56a172f,4899,3908,2023-12-12,Battery Check,1238.45,Dumas Tessier S.A.S.
0b24e596-ec4d-485b-972d-b8c7e3ee801f,2938,4715,2021-05-25,Engine Diagnostics,1690.65,Richard
eee0d0c7-6e0d-4f7f-a5a3-c12b8874c762,3737,4312,2020-12-18,Engine Diagnostics,374.71,Chauvet
1a54e8b5-8f0c-4527-be8c-30c22f593b26,10470,3065,2024-11-11,Oil Change,1780.86,Benard S.A.R.L.
b97233ba-0f67-4196-8a5b-915461d274e8,1687,3212,2022-12-28,Battery Check,1281.44,Raymond SA
46878449-d297-47a0-80ae-0ad7bd90c876,8719,2130,2024-12-02,Tire Replacement,1931.69,Muller
9c8efd8c-7759-4429-8c4e-67ed2d44adfa,8451,2485,2020-08-05,Battery Check,543.86,Da Costa
